Over18,BusinessTravel,EducationField,Department,Gender,JobRole,MaritalStatus,OverTime,Age,EnvironmentSatisfaction,Education,HourlyRate,JobInvolvement,JobLevel,DistanceFromHome,JobSatisfaction,EmployeeCount,MonthlyIncome,MonthlyRate,NumCompaniesWorked,EmployeeNumber,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate,Attrition
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Married,No,42,3,4,48,3,2,8,2,1,6825,21173,0,35,11,3,4,80,1,10,2,3,9,7,4,2,691,No
Y,Travel_Rarely,Medical,Research & Development,Female,Healthcare Representative,Married,No,44,1,4,42,2,3,7,4,1,10248,2094,3,36,14,3,4,80,1,24,4,3,22,6,5,17,477,No
Y,Travel_Rarely,Marketing,Sales,Female,Manager,Single,No,46,2,4,83,3,5,2,1,1,18947,22822,3,38,12,3,4,80,0,22,2,2,2,2,2,1,705,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Single,No,33,3,3,78,3,1,2,4,1,2496,6670,4,39,11,3,4,80,0,7,3,3,1,1,0,0,924,No
Y,Travel_Rarely,Other,Research & Development,Male,Healthcare Representative,Married,Yes,44,4,4,41,3,2,10,4,1,6465,19121,2,40,13,3,4,80,0,9,5,4,4,2,1,3,1459,No
Y,Travel_Rarely,Medical,Research & Development,Male,Laboratory Technician,Single,No,30,4,2,83,2,1,9,3,1,2206,16117,1,41,13,3,1,80,0,10,5,3,10,0,1,8,125,No
Y,Travel_Rarely,Technical Degree,Sales,Male,Sales Representative,Married,No,39,4,3,56,3,2,5,4,1,2086,3335,3,42,14,3,3,80,1,19,6,4,1,0,0,0,895,Yes
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Married,Yes,24,2,3,61,3,1,1,4,1,2293,3020,2,45,16,3,1,80,1,6,2,2,2,0,2,0,813,Yes
Y,Travel_Rarely,Medical,Research & Development,Female,Research Scientist,Divorced,No,43,4,2,72,4,1,2,3,1,2645,21923,1,46,12,3,4,80,2,6,3,2,5,3,1,4,1273,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Representative,Married,Yes,50,1,2,86,2,1,3,3,1,2683,3810,1,47,14,3,3,80,0,3,2,3,3,2,0,2,869,Yes
Y,Travel_Rarely,Marketing,Sales,Female,Sales Representative,Married,No,35,4,3,97,3,1,2,4,1,2014,9687,1,49,13,3,1,80,0,2,3,3,2,2,2,2,890,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Scientist,Married,Yes,36,2,4,82,2,1,5,1,1,3419,13072,9,51,14,3,4,80,1,6,3,4,1,1,0,0,852,No
Y,Travel_Frequently,Life Sciences,Sales,Female,Sales Executive,Married,No,33,3,3,42,4,2,1,1,1,5376,3193,2,52,19,3,1,80,2,10,3,3,5,3,1,3,1141,No
Y,Travel_Rarely,Other,Research & Development,Male,Laboratory Technician,Divorced,No,35,3,2,75,3,1,4,4,1,1951,10910,1,53,12,3,3,80,1,1,3,3,1,0,0,0,464,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Divorced,No,27,4,4,33,3,1,2,1,1,2341,19715,1,54,13,3,4,80,1,1,6,3,1,0,0,0,1240,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Single,No,26,1,3,48,1,1,25,3,1,2293,10558,1,55,12,3,3,80,0,1,2,2,1,0,0,1,1357,Yes
Y,Travel_Frequently,Life Sciences,Sales,Male,Sales Executive,Single,No,27,4,3,37,3,3,8,3,1,8726,2975,1,56,15,3,4,80,0,9,0,3,9,8,1,7,994,No
Y,Travel_Frequently,Medical,Research & Development,Female,Laboratory Technician,Single,No,30,3,2,58,3,2,1,4,1,4011,10781,1,57,23,4,4,80,0,12,2,3,12,8,3,7,721,No
Y,Travel_Rarely,Technical Degree,Research & Development,Female,Research Director,Married,No,41,2,3,49,3,5,12,3,1,19545,16280,1,58,12,3,4,80,0,23,0,3,22,15,15,8,1360,Yes
Y,Non-Travel,Marketing,Sales,Male,Sales Executive,Single,No,34,2,4,72,3,2,23,3,1,4568,10034,0,60,20,4,3,80,0,10,2,3,9,5,8,7,1065,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Married,No,37,2,2,73,3,1,19,2,1,3022,10227,4,61,21,4,1,80,0,8,1,3,1,0,0,0,408,No
Y,Travel_Frequently,Marketing,Sales,Male,Sales Executive,Single,Yes,46,1,4,98,3,2,5,4,1,5772,20445,4,62,21,4,3,80,0,14,4,3,9,6,0,8,1211,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Married,No,35,4,1,36,4,1,8,4,1,2269,4892,1,63,19,3,4,80,0,1,2,3,1,0,0,1,1229,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Single,Yes,48,1,2,98,2,3,1,3,1,5381,19294,9,64,13,3,4,80,0,23,2,3,1,0,0,0,626,Yes
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Laboratory Technician,Single,Yes,28,3,4,50,3,1,5,3,1,3441,11179,1,65,13,3,3,80,0,2,3,2,2,2,2,2,1434,Yes
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Divorced,Yes,44,2,5,75,3,2,1,1,1,5454,4009,5,68,21,4,3,80,1,9,2,2,4,3,1,3,1488,No
Y,Non-Travel,Medical,Research & Development,Male,Healthcare Representative,Married,Yes,35,3,2,79,2,3,11,1,1,9884,8302,2,70,13,3,3,80,1,10,3,3,4,0,2,3,1097,No
Y,Travel_Rarely,Marketing,Sales,Female,Sales Executive,Married,Yes,26,3,3,47,2,2,23,4,1,4157,21436,7,72,19,3,3,80,1,5,2,2,2,2,0,0,1443,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Research Director,Single,Yes,33,1,2,98,3,3,1,4,1,13458,15146,1,73,12,3,3,80,0,15,1,3,15,14,8,12,515,No
Y,Travel_Frequently,Life Sciences,Sales,Male,Sales Executive,Married,No,35,2,5,71,3,3,18,1,1,9069,11031,1,74,22,4,4,80,1,9,3,2,9,8,1,8,853,No
Y,Travel_Rarely,Medical,Research & Development,Female,Laboratory Technician,Married,Yes,35,3,4,30,3,1,23,1,1,4014,16002,3,75,15,3,3,80,1,4,3,3,2,2,2,2,1142,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Divorced,No,31,4,4,48,3,2,7,4,1,5915,9528,3,76,22,4,4,80,1,10,3,2,7,7,1,7,655,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Manufacturing Director,Divorced,No,37,1,4,51,2,2,1,3,1,5993,2689,1,77,18,3,3,80,1,7,2,4,7,5,0,7,1115,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Married,Yes,32,1,3,33,3,2,1,4,1,6162,10877,1,78,22,4,2,80,1,9,3,3,9,8,7,8,427,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Laboratory Technician,Single,No,38,4,5,50,3,2,29,4,1,2406,5456,1,79,11,3,4,80,0,10,2,3,10,3,9,9,653,No
Y,Travel_Rarely,Medical,Research & Development,Female,Research Director,Divorced,Yes,50,2,2,43,2,5,7,3,1,18740,16701,5,80,12,3,4,80,1,29,2,2,27,3,13,8,989,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Executive,Single,No,59,1,3,99,3,3,25,1,1,7637,2354,7,81,11,3,4,80,0,28,3,2,21,16,7,9,1435,No
Y,Travel_Rarely,Technical Degree,Research & Development,Female,Healthcare Representative,Divorced,No,36,3,3,59,3,3,8,3,1,10096,8202,1,83,13,3,2,80,3,17,2,3,17,14,12,8,1223,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manager,Divorced,Yes,55,4,3,33,3,4,8,3,1,14756,19730,2,84,14,3,3,80,3,21,2,3,5,0,0,2,836,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Manufacturing Director,Single,No,36,2,3,95,2,2,11,2,1,6499,22656,1,85,13,3,3,80,0,6,3,3,6,5,0,3,1195,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Divorced,No,45,2,3,59,3,3,7,1,1,9724,18787,2,86,17,3,3,80,1,25,2,3,1,0,0,0,1339,No
Y,Travel_Frequently,Medical,Research & Development,Male,Research Scientist,Married,No,35,2,3,79,3,1,1,1,1,2194,5868,4,88,13,3,4,80,1,5,2,2,3,2,1,2,664,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Married,Yes,36,4,3,79,2,1,9,3,1,3388,21777,0,90,17,3,1,80,1,2,0,2,1,0,0,0,318,Yes
Y,Travel_Frequently,Life Sciences,Sales,Female,Sales Executive,Single,No,59,1,1,57,2,2,1,3,1,5473,24668,7,91,11,3,4,80,0,20,2,2,4,3,1,3,1225,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Married,No,29,3,3,76,3,1,2,2,1,2703,4956,0,94,23,4,4,80,1,6,3,3,5,4,0,4,1328,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Single,No,31,3,4,87,3,1,1,2,1,2501,18775,1,95,17,3,2,80,0,1,4,3,1,1,1,0,1082,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Married,No,32,2,3,66,3,2,1,2,1,6220,7346,1,96,17,3,2,80,2,10,3,3,10,4,0,9,548,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Married,No,36,2,3,55,4,1,6,4,1,3038,22002,3,97,12,3,2,80,0,5,3,3,1,0,0,0,132,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Manufacturing Director,Single,No,31,3,4,61,3,2,8,4,1,4424,20682,1,98,23,4,4,80,0,11,2,3,11,7,1,8,746,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Single,No,35,3,4,32,2,2,1,1,1,4312,23016,0,100,14,3,2,80,0,16,2,3,15,13,2,8,776,No
Y,Travel_Rarely,Other,Research & Development,Male,Research Director,Married,Yes,45,4,4,52,3,3,6,1,1,13245,15067,4,101,14,3,2,80,0,17,3,4,0,0,0,0,193,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Director,Single,No,37,1,4,30,3,3,7,3,1,13664,25258,4,102,13,3,1,80,0,16,3,4,5,2,0,2,397,No
Y,Travel_Rarely,Medical,Human Resources,Male,Human Resources,Divorced,Yes,46,2,2,80,3,2,5,2,1,5021,10425,8,103,22,4,4,80,1,16,2,3,4,2,0,2,945,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Married,Yes,30,4,1,55,2,2,1,4,1,5126,15998,1,104,12,3,3,80,2,10,1,2,10,8,3,0,852,No
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Single,No,35,2,3,30,2,1,1,3,1,2859,26278,1,105,18,3,1,80,0,6,3,3,6,4,0,4,1214,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Married,No,55,1,2,70,3,3,1,4,1,10239,18092,3,106,14,3,4,80,1,24,4,3,1,0,1,0,111,No
Y,Non-Travel,Medical,Research & Development,Female,Research Scientist,Divorced,Yes,38,2,3,79,1,2,6,4,1,5329,15717,7,107,12,3,4,80,3,17,3,3,13,11,1,9,573,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Married,No,34,1,2,94,3,2,1,2,1,4325,17736,1,110,15,3,3,80,0,5,2,3,5,2,1,3,1153,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Manufacturing Director,Single,No,56,4,3,49,1,3,7,4,1,7260,21698,4,112,11,3,1,80,0,37,3,2,6,4,0,2,1400,No
Y,Travel_Rarely,Technical Degree,Sales,Male,Sales Representative,Divorced,No,23,3,1,62,3,1,2,1,1,2322,9518,3,113,13,3,3,80,1,3,3,3,0,0,0,0,541,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Married,No,51,4,4,96,3,1,9,4,1,2075,18725,3,116,23,4,2,80,2,10,4,3,4,2,0,3,432,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Healthcare Representative,Married,No,30,3,3,99,2,2,2,4,1,4152,15830,1,117,19,3,1,80,3,11,3,3,11,10,10,8,288,No
Y,Travel_Rarely,Medical,Sales,Male,Sales Executive,Single,No,46,3,2,64,2,3,9,4,1,9619,13596,1,118,16,3,4,80,0,9,3,3,9,8,4,7,669,Yes
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Healthcare Representative,Married,No,40,3,4,78,2,4,1,2,1,13503,14115,1,119,22,4,4,80,1,22,3,2,22,3,11,11,530,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Single,Yes,51,3,4,71,3,2,21,4,1,5441,8423,0,120,22,4,4,80,0,11,2,1,10,7,1,0,632,No
Y,Travel_Rarely,Medical,Sales,Female,Sales Executive,Divorced,Yes,30,3,2,63,2,2,4,2,1,5209,19760,1,121,12,3,2,80,3,11,4,2,11,8,2,7,1334,No
Y,Travel_Frequently,Medical,Research & Development,Male,Healthcare Representative,Married,Yes,46,3,3,40,2,3,1,1,1,10673,3142,2,124,13,3,3,80,1,21,5,2,10,9,9,5,638,No
Y,Travel_Rarely,Medical,Sales,Male,Sales Executive,Single,No,32,2,4,87,3,2,6,3,1,5010,24301,1,125,16,3,1,80,0,12,0,3,11,8,5,7,1093,No
Y,Travel_Rarely,Technical Degree,Research & Development,Female,Research Director,Married,No,54,1,4,60,3,3,2,3,1,13549,24001,9,126,12,3,1,80,1,16,5,1,4,3,0,3,1217,No
Y,Travel_Rarely,Other,Sales,Female,Sales Executive,Married,No,24,1,2,33,3,2,3,3,1,4999,17519,0,128,21,4,1,80,1,4,2,2,3,2,0,2,1353,No
Y,Non-Travel,Medical,Sales,Male,Sales Executive,Married,No,28,2,3,43,3,2,4,3,1,4221,8863,1,129,15,3,2,80,0,5,3,4,5,4,0,4,120,No
Y,Travel_Rarely,Medical,Sales,Male,Sales Executive,Single,No,58,4,4,37,3,4,10,3,1,13872,24409,0,131,13,3,3,80,0,38,1,2,37,10,1,8,682,No
Y,Non-Travel,Medical,Research & Development,Male,Laboratory Technician,Married,No,44,2,3,67,3,2,23,2,1,2042,25043,4,132,12,3,3,80,1,17,3,4,3,2,1,2,489,No
Y,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,Yes,37,3,4,63,3,1,6,1,1,2073,23648,4,133,22,4,4,80,0,7,3,3,3,2,0,2,807,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Scientist,Single,No,32,4,1,71,3,1,1,1,1,2956,15178,1,134,13,3,4,80,0,1,2,3,1,0,0,0,827,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Laboratory Technician,Single,Yes,20,4,3,66,2,1,6,4,1,2926,19783,1,137,18,3,2,80,0,1,5,3,1,0,1,0,871,Yes
Y,Travel_Rarely,Other,Research & Development,Female,Research Scientist,Single,No,34,1,4,41,3,2,6,3,1,4809,12482,1,138,14,3,3,80,0,16,3,3,16,13,2,10,665,No
Y,Non-Travel,Life Sciences,Research & Development,Male,Healthcare Representative,Divorced,No,37,3,2,100,2,2,2,4,1,5163,15850,5,139,14,3,4,80,1,17,2,4,1,0,0,0,1040,No
Y,Non-Travel,Human Resources,Human Resources,Female,Manager,Married,No,59,3,4,32,2,5,2,4,1,18844,21922,9,140,21,4,4,80,1,30,3,3,3,2,2,2,1420,No
Y,Travel_Frequently,Life Sciences,Research & Development,Female,Research Director,Married,Yes,50,1,3,73,3,5,1,2,1,18172,9755,3,141,19,3,1,80,0,28,1,2,8,3,0,7,1115,No
Y,Travel_Rarely,Marketing,Sales,Male,Sales Executive,Single,Yes,25,3,3,46,2,2,5,3,1,5744,26959,1,142,11,3,4,80,0,6,1,3,6,4,0,3,240,Yes
Y,Travel_Rarely,Medical,Research & Development,Male,Research Scientist,Married,No,25,4,1,64,2,1,7,4,1,2889,26897,1,143,11,3,3,80,2,2,2,3,2,2,2,1,1280,No
Y,Travel_Rarely,Medical,Research & Development,Female,Laboratory Technician,Single,No,22,2,3,59,3,1,15,4,1,2871,23785,1,144,15,3,3,80,0,1,5,3,0,0,0,0,534,No
Y,Travel_Frequently,Medical,Research & Development,Female,Healthcare Representative,Single,No,51,1,4,30,2,3,1,1,1,7484,25796,3,145,20,4,3,80,0,23,1,2,13,12,12,8,1456,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Laboratory Technician,Single,Yes,34,1,3,66,1,2,7,3,1,6074,22887,1,147,24,4,4,80,0,9,3,3,9,7,0,6,658,Yes
Y,Non-Travel,Human Resources,Human Resources,Female,Manager,Single,Yes,54,4,3,30,4,4,26,4,1,17328,13871,2,148,12,3,3,80,0,23,3,3,5,3,4,4,142,No
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Laboratory Technician,Married,No,24,2,1,52,3,1,18,3,1,2774,13257,0,150,12,3,3,80,1,6,2,3,5,3,1,2,1127,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Scientist,Divorced,No,34,3,4,45,2,2,6,2,1,4505,15000,6,151,15,3,3,80,1,12,3,3,1,0,0,0,1031,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Single,No,37,3,3,87,3,3,3,4,1,7428,14506,2,152,12,3,1,80,0,12,3,3,5,3,1,3,1189,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manager,Single,No,34,3,3,45,2,3,5,1,1,11631,5615,2,153,12,3,4,80,0,14,6,3,11,10,5,8,1354,No
Y,Travel_Frequently,Technical Degree,Sales,Female,Sales Executive,Married,No,36,2,2,92,3,3,11,4,1,9738,22952,0,154,14,3,3,80,1,10,6,3,9,7,2,8,1467,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Laboratory Technician,Divorced,No,36,1,2,39,3,1,3,4,1,2835,2561,5,155,22,4,1,80,1,7,2,3,1,0,0,0,922,No
Y,Travel_Frequently,Life Sciences,Sales,Male,Manager,Married,Yes,43,3,2,92,3,4,26,4,1,16959,19494,1,158,12,3,4,80,2,25,3,4,25,12,4,12,394,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Research Scientist,Divorced,No,30,1,3,96,1,1,23,3,1,2613,22310,1,159,25,4,3,80,3,10,2,2,10,7,0,9,1312,No
Y,Non-Travel,Marketing,Sales,Male,Sales Executive,Married,No,33,3,2,95,3,2,22,2,1,6146,15480,0,160,13,3,1,80,1,8,2,4,7,7,0,7,750,No
Y,Travel_Rarely,Life Sciences,Research & Development,Female,Research Scientist,Married,Yes,56,2,4,72,3,1,14,2,1,4963,4510,9,161,18,3,1,80,3,7,2,3,5,4,4,3,441,Yes
Y,Travel_Rarely,Life Sciences,Research & Development,Male,Research Director,Single,No,51,1,3,51,3,5,6,3,1,19537,6462,7,162,13,3,3,80,0,23,5,3,20,18,15,15,684,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Married,Yes,31,2,4,76,1,2,6,3,1,6172,20739,4,163,18,3,2,80,0,12,3,2,7,7,7,7,249,Yes
Y,Travel_Rarely,Other,Research & Development,Female,Research Scientist,Married,No,26,3,3,46,2,1,6,2,1,2368,23300,1,164,19,3,3,80,0,5,3,2,5,4,4,3,841,No
Y,Travel_Rarely,Medical,Research & Development,Female,Healthcare Representative,Married,No,58,4,4,94,3,3,23,4,1,10312,3465,1,165,12,3,4,80,1,40,3,2,40,10,15,6,147,Yes
Y,Travel_Rarely,Marketing,Sales,Male,Sales Representative,Single,Yes,19,4,1,50,3,1,22,3,1,1675,26820,1,167,19,3,4,80,0,0,2,2,0,0,0,0,528,Yes
Y,Travel_Rarely,Technical Degree,Research & Development,Male,Laboratory Technician,Married,No,22,3,1,100,3,1,2,4,1,2523,19299,0,169,14,3,3,80,1,3,2,3,2,1,2,1,594,No
Y,Travel_Rarely,Medical,Research & Development,Female,Manufacturing Director,Married,No,49,3,4,96,3,2,20,1,1,6567,5549,1,170,14,3,3,80,0,16,2,2,15,11,5,11,470,No
Y,Travel_Frequently,Medical,Research & Development,Female,Research Scientist,Single,No,43,2,3,72,4,1,28,3,1,4739,16090,4,171,12,3,4,80,0,18,2,3,3,2,1,2,957,No
Y,Travel_Frequently,Marketing,Sales,Female,Sales Executive,Single,No,50,3,3,77,3,3,12,4,1,9208,6645,4,174,11,3,4,80,0,16,3,3,2,2,2,1,809,No
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Executive,Married,Yes,31,2,3,71,1,2,20,3,1,4559,24788,3,175,11,3,3,80,1,4,2,3,2,2,2,2,542,Yes
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Divorced,Yes,41,3,1,96,3,3,9,3,1,8189,21196,3,176,13,3,3,80,1,12,2,3,9,7,0,7,802,No
Y,Travel_Rarely,Life Sciences,Human Resources,Female,Human Resources,Married,No,26,3,1,61,3,1,25,3,1,2942,8916,1,177,23,4,4,80,1,8,3,3,8,7,5,7,1355,No
Y,Travel_Rarely,Medical,Research & Development,Male,Manufacturing Director,Divorced,No,36,2,2,84,3,2,6,2,1,4941,2819,6,178,20,4,4,80,2,7,0,3,3,2,0,1,216,No
Y,Travel_Frequently,Life Sciences,Research & Development,Male,Manufacturing Director,Single,No,51,1,4,53,1,3,8,4,1,10650,25150,2,179,15,3,4,80,0,18,2,3,4,2,0,3,1150,Yes
Y,Travel_Rarely,Life Sciences,Sales,Female,Sales Executive,Married,No,39,4,4,47,2,2,4,3,1,5902,14590,4,182,14,3,3,80,1,17,1,4,15,11,5,9,1329,No
Y,Travel_Rarely,Life Sciences,Sales,Male,Sales Executive,Married,No,25,1,3,41,2,2,28,3,1,8639,24835,2,183,18,3,4,80,0,6,3,3,2,2,2,2,959,No
